domain,price,date,venue
aiplatform.com,15000,2023-12-01,NameBio
blockchain.io,15000,2024-01-05,NameBio
cryptowallet.com,12000,2024-03-01,NameBio
enterpriseai.com,15000,2023-10-10,NameBio
cloudscale.com,8500,2024-03-05,NameBio
fintech.io,8500,2023-11-20,NameBio
metaverse.io,15000,2024-02-01,NameBio
nftmarket.com,15000,2023-10-25,NameBio
machinelearning.com,25000,2023-09-15,NameBio
saasplatform.com,12000,2023-10-15,NameBio
aichat.io,3200,2024-07-01,NameBio
cloudapp.com,6500,2024-02-05,NameBio
healthtech.com,7200,2024-03-10,NameBio
medtech.com,6800,2024-03-30,NameBio
aidev.co,2100,2024-03-15,NameBio
healthio.co,2800,2024-03-05,NameBio
apphub.com,5100,2024-01-30,NameBio
dataanalytics.com,9800,2024-01-28,NameBio
digitalmedia.com,5800,2024-05-15,NameBio
ecomplatform.com,5800,2023-12-10,NameBio
greentech.com,5200,2024-01-05,NameBio
prodata.co,2500,2024-03-30,NameBio
wealthapp.co,2800,2024-03-10,NameBio
workflow.io,4200,2024-03-18,NameBio
aihub.com,12500,2024-01-10,NameBio
vpnservice.com,3800,2024-06-12,NameBio
wellnesshub.com,3400,2024-05-30,NameBio
saashub.com,5200,2024-02-01,NameBio
cryptofund.com,6800,2024-06-30,NameBio
edtech.io,4200,2024-07-18,NameBio
