domain,price,date,venue
crypto.com,15000000,2023-08-15,GoDaddy
ai.com,11000000,2023-07-01,GoDaddy
finance.com,8000000,2023-05-20,GoDaddy
health.com,6500000,2023-03-10,Sedo
travel.com,4200000,2023-11-05,Sedo
tech.com,3500000,2023-09-12,Afternic
shop.com,5200000,2023-06-18,Sedo
pay.com,4800000,2023-04-22,GoDaddy
app.com,3900000,2023-10-30,Sedo
data.com,2800000,2024-01-15,Afternic
cloud.com,3100000,2023-12-08,Sedo
home.com,2200000,2024-02-19,GoDaddy
food.com,2500000,2023-08-25,Sedo
news.com,3400000,2023-07-14,Afternic
code.com,1800000,2024-03-01,Sedo
bet.com,2900000,2023-05-30,GoDaddy
win.com,2100000,2023-09-28,Sedo
pro.com,1600000,2024-01-10,Afternic
meta.com,4500000,2023-11-20,Sedo
edge.com,950000,2024-02-05,GoDaddy
snapps.com,42000,2024-06-15,NameBio
swiftly.com,18500,2024-05-20,NameBio
peakflow.com,12000,2024-04-10,NameBio
vaultix.com,8900,2024-07-01,NameBio
nanocore.com,15500,2024-03-22,NameBio
bloomnet.com,7800,2024-08-05,NameBio
pulsehub.com,11200,2024-06-28,NameBio
nestify.com,6500,2024-05-12,NameBio
labgrid.com,9200,2024-07-18,NameBio
swapzone.com,14200,2024-04-25,NameBio
